Source,Meand13C,SDd13C,Meand15N,SDd15N
epilimnion.SPOM,1.3775,1.4334449,2.49126316,0.8087901
hypolimnion.SPOM,1.3775,1.4334449,2.49126316,0.8087901
limnetic.FPOM,1.3775,1.4334449,2.49126316,0.8087901
littoral.benthic.FPOM,1.3775,1.4334449,2.49126316,0.8087901
littoral.CPOM,1.3775,1.4334449,2.49126316,0.8087901
littoral.FPOM,1.3775,1.4334449,2.49126316,0.8087901
littoral.FPOM.attached,1.3775,1.4334449,2.49126316,0.8087901
littoral.FPOM.filamentous,1.3775,1.4334449,2.49126316,0.8087901
littoral.SPOM,1.3775,1.4334449,2.49126316,0.8087901
littoral.veg,1.3775,1.4334449,2.49126316,0.8087901
